freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.645e+02,5.717e+02,1.773e+01,7.539e+02
1.6,1.311e+02,3.941e+02,3.043e+01,5.556e+02
3.2,5.080e+01,7.073e+01,2.572e+01,1.473e+02
4.8,5.307e+01,5.580e+02,2.587e+01,6.369e+02
6.4,5.246e+01,1.880e+03,5.827e+01,1.990e+03
8.0,5.661e+01,2.012e+03,7.527e+01,2.144e+03
9.6,5.207e+01,2.085e+03,3.263e+01,2.170e+03
11.2,6.565e+01,3.237e+03,2.944e+01,3.332e+03
12.8,8.360e+01,4.655e+03,2.814e+01,4.767e+03
14.4,1.003e+02,6.259e+03,2.858e+01,6.388e+03
16.0,1.262e+02,8.027e+03,2.803e+01,8.181e+03
17.6,1.722e+02,1.039e+04,2.813e+01,1.059e+04
19.2,2.676e+02,1.345e+04,2.737e+01,1.375e+04
20.8,3.711e+02,1.649e+04,2.925e+01,1.689e+04
22.4,5.240e+02,2.024e+04,3.913e+01,2.080e+04
24.0,8.432e+02,2.583e+04,6.974e+01,2.674e+04
25.6,1.430e+03,3.041e+04,2.073e+02,3.204e+04
27.2,2.835e+03,3.513e+04,3.832e+02,3.835e+04
28.8,6.050e+03,4.471e+04,7.786e+02,5.154e+04
30.4,8.370e+03,4.731e+04,7.913e+02,5.648e+04
32.0,8.389e+03,4.579e+04,2.701e+02,5.445e+04
33.6,9.185e+03,4.540e+04,1.147e+02,5.469e+04
35.1,1.195e+04,4.921e+04,2.812e+02,6.145e+04
36.7,1.754e+04,5.242e+04,7.317e+02,7.069e+04
38.3,3.649e+04,5.078e+04,1.284e+03,8.856e+04
39.9,8.227e+04,4.576e+04,1.925e+03,1.300e+05
41.5,1.446e+05,5.552e+04,2.784e+03,2.029e+05
43.1,1.703e+05,9.060e+04,3.661e+03,2.646e+05
44.7,1.561e+05,1.534e+05,4.317e+03,3.138e+05
46.3,1.590e+05,2.499e+05,5.302e+03,4.142e+05
47.9,1.750e+05,3.905e+05,7.159e+03,5.727e+05
49.5,2.161e+05,5.942e+05,8.002e+03,8.183e+05
51.1,3.464e+05,1.026e+06,7.351e+03,1.380e+06
52.7,5.757e+05,1.872e+06,7.001e+03,2.455e+06
54.3,7.085e+05,2.609e+06,5.550e+03,3.323e+06
55.9,5.768e+05,2.480e+06,3.596e+03,3.061e+06
57.5,3.511e+05,1.760e+06,3.623e+03,2.115e+06
59.1,2.363e+05,1.283e+06,3.891e+03,1.524e+06
60.7,1.874e+05,1.008e+06,3.196e+03,1.198e+06
62.3,1.533e+05,7.761e+05,2.982e+03,9.324e+05
63.9,1.247e+05,5.948e+05,2.593e+03,7.222e+05
65.5,1.012e+05,4.610e+05,1.941e+03,5.641e+05
67.1,8.297e+04,3.609e+05,1.277e+03,4.451e+05
68.7,6.988e+04,2.883e+05,9.651e+02,3.591e+05
70.3,6.084e+04,2.420e+05,1.088e+03,3.040e+05
71.9,5.258e+04,2.071e+05,1.399e+03,2.611e+05
73.5,4.615e+04,1.817e+05,1.754e+03,2.296e+05
75.1,4.212e+04,1.610e+05,2.178e+03,2.053e+05
76.7,3.942e+04,1.406e+05,2.735e+03,1.827e+05
78.3,3.790e+04,1.188e+05,4.110e+03,1.608e+05
79.9,3.666e+04,1.002e+05,5.968e+03,1.428e+05
81.5,3.211e+04,9.397e+04,7.708e+03,1.338e+05
83.1,2.506e+04,9.890e+04,8.672e+03,1.326e+05
84.7,2.040e+04,1.055e+05,8.723e+03,1.346e+05
86.3,1.858e+04,1.087e+05,8.593e+03,1.358e+05
87.9,1.749e+04,1.078e+05,8.084e+03,1.334e+05
89.5,1.695e+04,1.027e+05,8.051e+03,1.277e+05
91.1,1.695e+04,9.685e+04,8.566e+03,1.224e+05
92.7,1.677e+04,9.110e+04,9.276e+03,1.171e+05
94.3,1.677e+04,8.528e+04,1.020e+04,1.122e+05
95.9,1.622e+04,7.961e+04,1.044e+04,1.063e+05
97.5,1.621e+04,7.379e+04,1.060e+04,1.006e+05
99.1,1.733e+04,6.651e+04,1.281e+04,9.665e+04
100.7,1.877e+04,5.991e+04,1.831e+04,9.700e+04
102.3,2.179e+04,5.015e+04,2.603e+04,9.797e+04
103.9,2.351e+04,3.729e+04,3.182e+04,9.262e+04
105.4,2.386e+04,2.967e+04,3.159e+04,8.512e+04
107.0,2.793e+04,2.370e+04,2.931e+04,8.094e+04
108.6,3.010e+04,1.821e+04,2.406e+04,7.236e+04
110.2,3.213e+04,1.646e+04,2.029e+04,6.889e+04
111.8,3.709e+04,1.930e+04,1.971e+04,7.610e+04
113.4,4.165e+04,3.240e+04,1.888e+04,9.294e+04
115.0,4.823e+04,6.800e+04,1.918e+04,1.354e+05
116.6,5.801e+04,1.218e+05,2.085e+04,2.007e+05
118.2,5.942e+04,1.598e+05,2.313e+04,2.423e+05
119.8,5.451e+04,1.781e+05,2.749e+04,2.601e+05
121.4,4.871e+04,1.870e+05,3.328e+04,2.690e+05
123.0,4.346e+04,1.887e+05,3.708e+04,2.692e+05
124.6,4.129e+04,1.867e+05,3.999e+04,2.680e+05
126.2,4.167e+04,1.837e+05,4.575e+04,2.711e+05
127.8,4.272e+04,1.750e+05,4.883e+04,2.665e+05
129.4,4.240e+04,1.627e+05,4.724e+04,2.523e+05
131.0,4.113e+04,1.531e+05,4.544e+04,2.396e+05
132.6,3.420e+04,1.082e+05,4.402e+04,1.864e+05
134.2,2.169e+04,2.009e+04,4.271e+04,8.450e+04
135.8,1.916e+04,2.886e+03,4.433e+04,6.638e+04
137.4,1.824e+04,3.207e+03,4.447e+04,6.591e+04
139.0,1.714e+04,3.862e+03,4.370e+04,6.470e+04
140.6,1.584e+04,4.464e+03,4.151e+04,6.182e+04
142.2,1.376e+04,4.635e+03,3.667e+04,5.507e+04
143.8,1.155e+04,4.143e+03,3.104e+04,4.672e+04
145.4,1.057e+04,3.379e+03,2.890e+04,4.285e+04
147.0,1.106e+04,3.694e+03,3.227e+04,4.702e+04
148.6,1.203e+04,6.210e+03,3.835e+04,5.659e+04
150.2,1.170e+04,9.020e+03,3.978e+04,6.050e+04
151.8,1.109e+04,1.064e+04,3.730e+04,5.904e+04
153.4,1.095e+04,1.108e+04,3.470e+04,5.672e+04
155.0,1.050e+04,1.072e+04,3.117e+04,5.239e+04
156.6,9.655e+03,9.857e+03,2.767e+04,4.718e+04
158.2,8.818e+03,9.704e+03,2.512e+04,4.364e+04
159.8,8.554e+03,9.349e+03,2.279e+04,4.070e+04
161.4,8.135e+03,7.641e+03,1.927e+04,3.505e+04
163.0,7.090e+03,6.512e+03,1.552e+04,2.912e+04
164.6,5.442e+03,5.373e+03,1.176e+04,2.257e+04
166.2,3.702e+03,4.149e+03,7.784e+03,1.563e+04
167.8,2.457e+03,3.104e+03,5.189e+03,1.075e+04
169.4,1.769e+03,2.426e+03,3.447e+03,7.642e+03
171.0,1.515e+03,2.234e+03,2.508e+03,6.257e+03
172.6,1.178e+03,2.196e+03,1.743e+03,5.117e+03
174.1,8.527e+02,2.964e+03,1.080e+03,4.897e+03
175.7,7.465e+02,3.652e+03,9.171e+02,5.316e+03
177.3,8.646e+02,3.959e+03,1.190e+03,6.014e+03
178.9,1.017e+03,3.901e+03,1.550e+03,6.468e+03
180.5,1.196e+03,4.098e+03,1.936e+03,7.230e+03
182.1,1.422e+03,4.275e+03,2.422e+03,8.119e+03
183.7,1.496e+03,4.103e+03,2.675e+03,8.274e+03
185.3,1.517e+03,3.952e+03,2.747e+03,8.216e+03
186.9,1.397e+03,3.790e+03,2.523e+03,7.710e+03
188.5,1.341e+03,3.957e+03,2.471e+03,7.769e+03
190.1,1.361e+03,4.355e+03,2.583e+03,8.300e+03
191.7,1.286e+03,4.816e+03,2.625e+03,8.727e+03
193.3,1.188e+03,5.284e+03,2.478e+03,8.950e+03
194.9,1.119e+03,5.314e+03,2.366e+03,8.799e+03
196.5,1.161e+03,4.211e+03,2.494e+03,7.867e+03
198.1,1.441e+03,3.321e+03,2.913e+03,7.674e+03
199.7,1.841e+03,4.085e+03,3.380e+03,9.306e+03
