freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.342e+02,6.475e+01,4.129e+02,7.118e+02
1.6,1.197e+03,1.844e+02,2.620e+02,1.643e+03
3.2,1.440e+03,2.502e+02,5.148e+01,1.741e+03
4.8,1.235e+03,3.015e+02,4.194e+02,1.956e+03
6.4,1.248e+03,3.858e+02,1.271e+03,2.905e+03
8.0,1.350e+03,4.077e+02,1.932e+03,3.690e+03
9.6,1.180e+03,3.510e+02,2.658e+03,4.189e+03
11.2,1.260e+03,3.158e+02,3.621e+03,5.198e+03
12.8,1.283e+03,3.548e+02,4.635e+03,6.272e+03
14.4,1.365e+03,3.720e+02,5.669e+03,7.406e+03
16.0,1.360e+03,3.979e+02,7.042e+03,8.800e+03
17.6,1.302e+03,4.050e+02,8.612e+03,1.032e+04
19.2,1.316e+03,4.302e+02,1.043e+04,1.218e+04
20.8,1.424e+03,4.108e+02,1.232e+04,1.415e+04
22.4,1.296e+03,4.098e+02,1.423e+04,1.594e+04
24.0,1.273e+03,3.628e+02,1.638e+04,1.801e+04
25.6,1.156e+03,3.937e+02,1.873e+04,2.028e+04
27.2,1.260e+03,3.267e+02,2.119e+04,2.277e+04
28.8,1.314e+03,3.853e+02,2.409e+04,2.578e+04
30.4,1.165e+03,4.585e+02,2.717e+04,2.879e+04
32.0,1.314e+03,5.407e+02,3.106e+04,3.292e+04
33.6,1.309e+03,5.285e+02,3.458e+04,3.642e+04
35.2,1.324e+03,5.203e+02,3.915e+04,4.099e+04
36.8,1.443e+03,6.322e+02,4.499e+04,4.706e+04
38.4,1.409e+03,8.239e+02,5.227e+04,5.450e+04
40.0,1.323e+03,9.421e+02,6.022e+04,6.249e+04
41.6,1.465e+03,1.219e+03,7.170e+04,7.438e+04
43.2,1.488e+03,1.457e+03,8.499e+04,8.794e+04
44.8,1.707e+03,1.618e+03,9.925e+04,1.026e+05
46.4,1.754e+03,1.910e+03,1.202e+05,1.238e+05
48.0,1.829e+03,2.369e+03,1.455e+05,1.497e+05
49.6,2.090e+03,2.629e+03,1.686e+05,1.733e+05
51.2,2.950e+03,2.993e+03,1.981e+05,2.040e+05
52.8,4.368e+03,4.015e+03,2.445e+05,2.529e+05
54.4,8.369e+03,6.236e+03,3.116e+05,3.262e+05
56.0,1.442e+04,1.018e+04,3.983e+05,4.229e+05
57.6,1.757e+04,1.481e+04,4.994e+05,5.318e+05
59.2,2.026e+04,2.157e+04,7.115e+05,7.533e+05
60.8,2.832e+04,3.377e+04,1.100e+06,1.162e+06
62.4,4.651e+04,5.876e+04,1.737e+06,1.842e+06
64.0,5.795e+04,7.415e+04,1.998e+06,2.130e+06
65.6,5.635e+04,6.936e+04,1.647e+06,1.773e+06
67.2,5.592e+04,6.042e+04,1.202e+06,1.318e+06
68.8,4.989e+04,4.797e+04,8.475e+05,9.453e+05
70.4,3.873e+04,3.738e+04,6.319e+05,7.080e+05
72.0,3.008e+04,3.511e+04,4.532e+05,5.184e+05
73.6,3.770e+04,3.969e+04,3.430e+05,4.203e+05
75.2,5.220e+04,4.928e+04,2.939e+05,3.953e+05
76.8,4.996e+04,4.720e+04,2.492e+05,3.464e+05
78.4,3.852e+04,3.624e+04,2.044e+05,2.792e+05
80.0,3.158e+04,3.576e+04,1.670e+05,2.344e+05
81.6,1.945e+04,2.139e+04,1.229e+05,1.638e+05
83.2,1.112e+04,7.336e+03,8.995e+04,1.084e+05
84.8,9.784e+03,6.293e+03,7.292e+04,8.900e+04
86.4,1.106e+04,8.161e+03,6.382e+04,8.304e+04
88.0,1.593e+04,1.306e+04,5.380e+04,8.279e+04
89.6,2.059e+04,1.734e+04,4.229e+04,8.021e+04
91.2,2.383e+04,2.113e+04,3.112e+04,7.608e+04
92.8,2.784e+04,2.623e+04,2.400e+04,7.808e+04
94.4,3.130e+04,2.921e+04,2.060e+04,8.111e+04
96.0,3.419e+04,2.883e+04,1.918e+04,8.219e+04
97.6,3.494e+04,2.412e+04,1.845e+04,7.752e+04
99.2,3.465e+04,1.842e+04,1.858e+04,7.165e+04
100.8,3.514e+04,1.327e+04,1.952e+04,6.794e+04
102.4,3.616e+04,8.976e+03,2.207e+04,6.721e+04
104.0,3.641e+04,6.402e+03,2.568e+04,6.850e+04
105.7,3.621e+04,5.319e+03,2.892e+04,7.045e+04
107.3,4.247e+04,5.695e+03,3.826e+04,8.642e+04
108.9,4.973e+04,1.067e+04,5.225e+04,1.126e+05
110.5,4.821e+04,2.434e+04,5.998e+04,1.325e+05
112.1,3.997e+04,4.061e+04,5.767e+04,1.382e+05
113.7,3.365e+04,5.365e+04,5.615e+04,1.434e+05
115.3,3.084e+04,6.944e+04,6.071e+04,1.610e+05
116.9,3.307e+04,9.058e+04,7.219e+04,1.958e+05
118.5,3.891e+04,1.172e+05,8.767e+04,2.438e+05
120.1,4.275e+04,1.353e+05,9.759e+04,2.756e+05
121.7,4.704e+04,1.413e+05,1.091e+05,2.974e+05
123.3,5.299e+04,1.391e+05,1.202e+05,3.123e+05
124.9,6.003e+04,1.401e+05,1.318e+05,3.319e+05
126.5,6.468e+04,1.450e+05,1.500e+05,3.597e+05
128.1,5.385e+04,1.240e+05,1.292e+05,3.071e+05
129.7,5.548e+04,1.273e+05,1.430e+05,3.258e+05
131.3,8.400e+04,1.794e+05,2.323e+05,4.957e+05
132.9,6.389e+04,1.377e+05,1.853e+05,3.869e+05
134.5,1.170e+04,2.286e+04,3.014e+04,6.469e+04
136.1,4.110e+03,3.704e+03,6.466e+03,1.428e+04
137.7,5.163e+03,3.120e+03,9.776e+03,1.806e+04
139.3,6.657e+03,3.612e+03,1.324e+04,2.351e+04
140.9,8.175e+03,5.025e+03,1.595e+04,2.915e+04
142.5,8.564e+03,5.830e+03,1.727e+04,3.167e+04
144.1,8.669e+03,6.424e+03,1.824e+04,3.333e+04
145.7,8.949e+03,6.300e+03,1.760e+04,3.285e+04
147.3,8.815e+03,6.628e+03,1.643e+04,3.188e+04
148.9,9.883e+03,8.248e+03,1.761e+04,3.574e+04
150.5,1.163e+04,1.079e+04,2.057e+04,4.298e+04
152.1,1.280e+04,1.191e+04,2.183e+04,4.655e+04
153.7,1.353e+04,1.229e+04,2.284e+04,4.866e+04
155.3,1.553e+04,1.386e+04,2.802e+04,5.741e+04
156.9,1.808e+04,1.571e+04,3.440e+04,6.820e+04
158.5,2.093e+04,1.822e+04,4.157e+04,8.072e+04
160.1,2.425e+04,2.245e+04,5.055e+04,9.724e+04
161.7,2.837e+04,2.671e+04,5.908e+04,1.142e+05
163.3,3.053e+04,2.910e+04,6.396e+04,1.236e+05
164.9,3.027e+04,2.945e+04,6.450e+04,1.242e+05
166.5,3.504e+04,3.464e+04,7.431e+04,1.440e+05
168.1,4.225e+04,4.371e+04,8.857e+04,1.745e+05
169.7,4.859e+04,5.300e+04,1.045e+05,2.061e+05
171.3,6.052e+04,6.286e+04,1.263e+05,2.497e+05
172.9,7.277e+04,7.232e+04,1.500e+05,2.951e+05
174.5,7.712e+04,7.241e+04,1.609e+05,3.105e+05
176.1,7.247e+04,6.308e+04,1.500e+05,2.855e+05
177.7,7.326e+04,5.718e+04,1.494e+05,2.798e+05
179.3,7.316e+04,5.764e+04,1.541e+05,2.849e+05
180.9,7.415e+04,5.909e+04,1.566e+05,2.899e+05
182.5,7.706e+04,5.899e+04,1.609e+05,2.969e+05
184.1,8.158e+04,6.125e+04,1.705e+05,3.133e+05
185.7,8.916e+04,6.519e+04,1.868e+05,3.412e+05
187.3,1.050e+05,6.889e+04,2.163e+05,3.902e+05
188.9,1.139e+05,7.373e+04,2.366e+05,4.242e+05
190.5,1.174e+05,7.940e+04,2.419e+05,4.387e+05
192.1,1.294e+05,8.724e+04,2.643e+05,4.809e+05
193.7,1.359e+05,9.759e+04,2.759e+05,5.093e+05
195.3,1.418e+05,1.069e+05,2.869e+05,5.356e+05
196.9,1.340e+05,1.110e+05,2.690e+05,5.140e+05
198.5,1.292e+05,1.128e+05,2.561e+05,4.981e+05
