freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.677e+01,6.942e+02,1.205e+01,7.930e+02
1.6,6.992e+01,4.355e+02,2.659e+01,5.320e+02
3.2,2.478e+01,6.137e+01,2.542e+01,1.116e+02
4.8,2.851e+01,5.150e+02,2.530e+01,5.688e+02
6.4,3.233e+01,1.758e+03,2.970e+01,1.820e+03
8.0,2.984e+01,1.903e+03,3.332e+01,1.966e+03
9.6,2.997e+01,1.988e+03,2.898e+01,2.047e+03
11.2,4.402e+01,3.034e+03,2.566e+01,3.104e+03
12.8,5.912e+01,4.180e+03,2.747e+01,4.266e+03
14.4,8.291e+01,5.573e+03,2.732e+01,5.683e+03
16.0,1.291e+02,7.396e+03,2.773e+01,7.553e+03
17.6,1.886e+02,9.582e+03,3.101e+01,9.802e+03
19.2,2.959e+02,1.163e+04,3.633e+01,1.196e+04
20.8,5.126e+02,1.377e+04,3.613e+01,1.431e+04
22.3,1.548e+03,1.622e+04,3.656e+01,1.780e+04
23.9,9.632e+03,2.111e+04,6.600e+01,3.081e+04
25.5,2.521e+04,3.823e+04,1.561e+02,6.360e+04
27.1,3.002e+04,5.617e+04,1.536e+02,8.634e+04
28.7,2.536e+04,6.056e+04,2.148e+02,8.614e+04
30.3,1.885e+04,5.594e+04,4.816e+02,7.527e+04
31.9,1.913e+04,6.853e+04,6.154e+02,8.827e+04
33.5,2.183e+04,9.232e+04,5.279e+02,1.147e+05
35.1,2.285e+04,1.095e+05,3.490e+02,1.327e+05
36.7,2.458e+04,1.322e+05,2.358e+02,1.571e+05
38.3,2.821e+04,1.736e+05,2.065e+02,2.020e+05
39.9,3.327e+04,2.306e+05,2.222e+02,2.641e+05
41.5,4.283e+04,3.338e+05,2.670e+02,3.769e+05
43.1,5.811e+04,4.946e+05,2.870e+02,5.530e+05
44.7,7.987e+04,7.240e+05,2.225e+02,8.041e+05
46.3,1.247e+05,1.227e+06,2.715e+02,1.352e+06
47.9,2.003e+05,2.113e+06,1.296e+03,2.314e+06
49.5,2.409e+05,2.614e+06,2.945e+03,2.858e+06
51.1,2.272e+05,2.500e+06,4.311e+03,2.732e+06
52.7,1.968e+05,2.152e+06,5.076e+03,2.354e+06
54.3,1.621e+05,1.694e+06,4.624e+03,1.861e+06
55.9,1.250e+05,1.248e+06,4.473e+03,1.378e+06
57.5,8.594e+04,8.918e+05,4.116e+03,9.818e+05
59.1,6.177e+04,6.928e+05,3.381e+03,7.579e+05
60.7,5.105e+04,5.733e+05,2.872e+03,6.273e+05
62.3,4.287e+04,4.533e+05,2.636e+03,4.988e+05
63.9,3.746e+04,3.582e+05,2.555e+03,3.982e+05
65.5,3.512e+04,2.903e+05,2.531e+03,3.280e+05
67.0,3.565e+04,2.369e+05,2.564e+03,2.751e+05
68.6,3.945e+04,1.994e+05,2.662e+03,2.416e+05
70.2,4.341e+04,1.734e+05,2.826e+03,2.196e+05
71.8,4.641e+04,1.434e+05,3.298e+03,1.931e+05
73.4,5.093e+04,1.100e+05,4.116e+03,1.651e+05
75.0,5.286e+04,8.638e+04,4.834e+03,1.441e+05
76.6,5.023e+04,7.629e+04,5.032e+03,1.316e+05
78.2,4.461e+04,7.704e+04,4.650e+03,1.263e+05
79.8,3.592e+04,8.740e+04,3.670e+03,1.270e+05
81.4,2.607e+04,9.804e+04,2.755e+03,1.269e+05
83.0,1.835e+04,1.002e+05,2.115e+03,1.206e+05
84.6,1.662e+04,9.729e+04,2.062e+03,1.160e+05
86.2,2.013e+04,9.254e+04,3.159e+03,1.158e+05
87.8,2.579e+04,9.136e+04,5.846e+03,1.230e+05
89.4,2.969e+04,1.028e+05,1.077e+04,1.433e+05
91.0,2.620e+04,1.288e+05,1.676e+04,1.717e+05
92.6,1.671e+04,1.523e+05,2.163e+04,1.906e+05
94.2,9.737e+03,1.601e+05,2.772e+04,1.975e+05
95.8,7.140e+03,1.559e+05,3.258e+04,1.956e+05
97.4,8.769e+03,1.437e+05,3.336e+04,1.858e+05
99.0,1.273e+04,1.289e+05,3.404e+04,1.757e+05
100.6,1.830e+04,1.215e+05,4.083e+04,1.807e+05
102.2,2.282e+04,1.107e+05,5.110e+04,1.846e+05
103.8,2.150e+04,8.375e+04,4.996e+04,1.552e+05
105.4,1.873e+04,5.874e+04,4.311e+04,1.206e+05
107.0,1.893e+04,4.015e+04,4.195e+04,1.010e+05
108.6,1.628e+04,2.747e+04,3.919e+04,8.294e+04
110.2,1.270e+04,2.500e+04,3.533e+04,7.303e+04
111.7,9.720e+03,2.821e+04,3.059e+04,6.852e+04
113.3,7.161e+03,3.041e+04,2.554e+04,6.311e+04
114.9,5.024e+03,3.115e+04,2.138e+04,5.755e+04
116.5,3.521e+03,3.185e+04,1.890e+04,5.427e+04
118.1,2.476e+03,3.256e+04,1.744e+04,5.248e+04
119.7,1.761e+03,3.369e+04,1.663e+04,5.207e+04
121.3,1.185e+03,3.475e+04,1.566e+04,5.160e+04
122.9,7.960e+02,3.402e+04,1.331e+04,4.813e+04
124.5,6.196e+02,3.238e+04,1.138e+04,4.438e+04
126.1,7.866e+02,3.361e+04,1.167e+04,4.607e+04
