freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.689e+01,1.163e+02,3.168e+02,5.300e+02
1.6,1.023e+02,1.928e+02,2.056e+02,5.007e+02
3.2,9.310e+01,3.477e+02,5.825e+01,4.990e+02
4.8,7.301e+01,3.465e+02,4.770e+02,8.965e+02
6.4,7.053e+01,3.415e+02,1.569e+03,1.981e+03
8.0,5.849e+01,2.981e+02,2.070e+03,2.427e+03
9.6,5.669e+01,2.820e+02,2.495e+03,2.833e+03
11.2,5.860e+01,2.862e+02,3.565e+03,3.909e+03
12.8,6.203e+01,2.884e+02,4.767e+03,5.117e+03
14.4,7.017e+01,3.038e+02,6.179e+03,6.553e+03
16.0,7.365e+01,2.834e+02,7.896e+03,8.253e+03
17.6,8.844e+01,3.267e+02,9.815e+03,1.023e+04
19.2,1.049e+02,3.494e+02,1.192e+04,1.238e+04
20.8,1.166e+02,3.550e+02,1.441e+04,1.489e+04
22.3,1.320e+02,3.596e+02,1.732e+04,1.781e+04
23.9,1.669e+02,3.374e+02,2.065e+04,2.115e+04
25.5,2.284e+02,4.334e+02,2.534e+04,2.600e+04
27.1,3.316e+02,6.069e+02,2.767e+04,2.860e+04
28.7,5.111e+02,6.661e+02,2.650e+04,2.768e+04
30.3,9.778e+02,6.741e+02,2.871e+04,3.037e+04
31.9,2.137e+03,8.335e+02,3.467e+04,3.764e+04
33.5,3.384e+03,1.216e+03,4.270e+04,4.730e+04
35.1,2.920e+03,1.159e+03,5.200e+04,5.608e+04
36.7,3.263e+03,1.103e+03,6.237e+04,6.674e+04
38.3,6.785e+03,1.578e+03,7.797e+04,8.634e+04
39.9,1.408e+04,3.411e+03,9.732e+04,1.148e+05
41.5,2.756e+04,7.745e+03,1.151e+05,1.504e+05
43.1,4.678e+04,1.216e+04,1.166e+05,1.756e+05
44.7,6.264e+04,1.505e+04,1.060e+05,1.837e+05
46.3,7.230e+04,1.694e+04,9.347e+04,1.827e+05
47.9,7.882e+04,1.814e+04,8.248e+04,1.794e+05
49.5,8.236e+04,1.870e+04,7.057e+04,1.716e+05
51.1,8.359e+04,1.875e+04,5.724e+04,1.596e+05
52.7,8.279e+04,1.862e+04,4.431e+04,1.457e+05
54.3,7.454e+04,1.796e+04,2.936e+04,1.219e+05
55.9,6.792e+04,1.730e+04,2.237e+04,1.076e+05
57.5,6.039e+04,1.535e+04,1.885e+04,9.459e+04
59.1,5.271e+04,1.395e+04,1.669e+04,8.334e+04
60.7,4.897e+04,1.373e+04,1.475e+04,7.746e+04
62.3,4.797e+04,1.420e+04,1.305e+04,7.522e+04
63.8,5.109e+04,1.454e+04,1.303e+04,7.867e+04
65.4,5.956e+04,1.377e+04,1.870e+04,9.203e+04
