freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.617e+01,3.552e+02,7.251e+00,4.386e+02
1.6,5.441e+01,2.107e+02,2.287e+01,2.879e+02
3.2,1.359e+01,3.027e+01,2.545e+01,6.931e+01
4.8,1.374e+01,3.836e+02,2.450e+01,4.219e+02
6.4,1.939e+01,1.261e+03,2.469e+01,1.305e+03
8.0,2.246e+01,1.708e+03,2.615e+01,1.757e+03
9.6,2.046e+01,2.479e+03,2.507e+01,2.524e+03
11.2,2.548e+01,3.707e+03,2.459e+01,3.757e+03
12.8,2.575e+01,5.122e+03,2.617e+01,5.174e+03
14.4,2.372e+01,6.927e+03,2.526e+01,6.976e+03
16.0,3.161e+01,9.177e+03,2.541e+01,9.234e+03
17.6,3.559e+01,1.186e+04,2.715e+01,1.192e+04
19.2,6.392e+01,1.510e+04,3.892e+01,1.521e+04
20.8,1.484e+02,1.741e+04,3.897e+01,1.759e+04
22.4,1.960e+02,2.094e+04,3.332e+01,2.117e+04
24.0,2.347e+02,2.568e+04,3.436e+01,2.595e+04
25.6,2.589e+02,2.996e+04,3.091e+01,3.025e+04
27.2,3.528e+02,3.704e+04,2.822e+01,3.742e+04
28.8,5.487e+02,4.806e+04,2.793e+01,4.864e+04
30.4,8.794e+02,6.219e+04,3.719e+01,6.311e+04
32.0,1.318e+03,7.999e+04,7.388e+01,8.138e+04
33.5,2.281e+03,1.082e+05,1.444e+02,1.106e+05
35.1,4.816e+03,1.547e+05,1.991e+02,1.597e+05
36.7,1.189e+04,2.306e+05,5.496e+02,2.430e+05
38.3,2.803e+04,3.244e+05,2.120e+03,3.546e+05
39.9,5.557e+04,4.053e+05,4.300e+03,4.652e+05
41.5,8.894e+04,4.486e+05,5.540e+03,5.431e+05
43.1,1.110e+05,3.991e+05,5.532e+03,5.156e+05
44.7,1.065e+05,2.890e+05,4.381e+03,3.999e+05
46.3,1.007e+05,1.887e+05,3.616e+03,2.930e+05
47.9,1.053e+05,1.127e+05,3.142e+03,2.211e+05
49.5,1.066e+05,7.356e+04,2.585e+03,1.828e+05
51.1,1.009e+05,7.811e+04,2.108e+03,1.811e+05
52.7,1.207e+05,1.687e+05,2.213e+03,2.916e+05
54.3,1.863e+05,4.362e+05,2.853e+03,6.253e+05
55.9,2.153e+05,7.187e+05,2.385e+03,9.364e+05
57.5,1.813e+05,7.438e+05,1.361e+03,9.265e+05
59.1,1.512e+05,6.648e+05,6.171e+02,8.166e+05
60.7,1.361e+05,6.480e+05,8.402e+02,7.850e+05
62.3,1.171e+05,6.104e+05,1.424e+03,7.289e+05
63.9,9.617e+04,5.521e+05,2.739e+03,6.510e+05
65.5,8.075e+04,5.011e+05,4.417e+03,5.863e+05
67.1,6.926e+04,4.370e+05,3.883e+03,5.101e+05
68.7,5.911e+04,3.643e+05,2.582e+03,4.260e+05
70.3,4.775e+04,2.957e+05,1.494e+03,3.450e+05
71.9,3.288e+04,2.255e+05,5.931e+02,2.590e+05
73.5,1.693e+04,1.607e+05,5.934e+02,1.782e+05
75.1,6.058e+03,1.147e+05,1.519e+03,1.222e+05
76.7,7.774e+03,1.110e+05,2.174e+03,1.210e+05
78.3,1.352e+04,1.253e+05,2.017e+03,1.409e+05
79.9,1.333e+04,1.167e+05,1.610e+03,1.317e+05
81.5,9.629e+03,9.199e+04,2.148e+03,1.038e+05
83.1,8.342e+03,7.777e+04,3.571e+03,8.968e+04
84.7,7.810e+03,6.888e+04,3.962e+03,8.065e+04
86.3,7.659e+03,6.323e+04,3.812e+03,7.470e+04
87.9,8.252e+03,6.207e+04,3.295e+03,7.361e+04
89.5,9.167e+03,6.156e+04,2.748e+03,7.347e+04
91.1,9.808e+03,5.553e+04,2.490e+03,6.783e+04
92.7,1.043e+04,5.050e+04,2.259e+03,6.320e+04
94.3,1.130e+04,4.530e+04,2.043e+03,5.864e+04
95.9,1.274e+04,4.068e+04,1.942e+03,5.536e+04
97.5,1.456e+04,3.655e+04,1.459e+03,5.257e+04
99.0,1.561e+04,3.124e+04,1.042e+03,4.789e+04
100.6,1.701e+04,2.626e+04,8.042e+02,4.408e+04
102.2,1.907e+04,2.248e+04,7.534e+02,4.230e+04
103.8,2.058e+04,2.096e+04,8.759e+02,4.242e+04
105.4,2.068e+04,2.095e+04,9.989e+02,4.264e+04
107.0,2.406e+04,2.051e+04,1.248e+03,4.582e+04
108.6,2.764e+04,2.486e+04,1.871e+03,5.437e+04
110.2,3.293e+04,4.519e+04,2.645e+03,8.076e+04
111.8,3.864e+04,9.046e+04,3.350e+03,1.324e+05
113.4,3.792e+04,1.427e+05,4.238e+03,1.848e+05
115.0,3.212e+04,1.626e+05,4.549e+03,1.993e+05
116.6,2.427e+04,1.438e+05,4.039e+03,1.721e+05
118.2,1.690e+04,1.267e+05,3.571e+03,1.472e+05
119.8,1.095e+04,1.276e+05,3.418e+03,1.420e+05
121.4,6.249e+03,1.303e+05,3.419e+03,1.400e+05
123.0,5.004e+03,1.125e+05,2.740e+03,1.203e+05
124.6,4.309e+03,9.499e+04,2.758e+03,1.021e+05
126.2,3.256e+03,1.119e+05,3.410e+03,1.186e+05
127.8,2.691e+03,1.194e+05,3.621e+03,1.257e+05
129.4,2.280e+03,1.166e+05,3.735e+03,1.226e+05
131.0,1.876e+03,1.131e+05,3.983e+03,1.190e+05
132.6,1.168e+03,8.047e+04,3.693e+03,8.533e+04
134.2,2.390e+02,1.433e+04,1.974e+03,1.654e+04
135.8,6.766e+01,9.687e+02,1.436e+03,2.472e+03
137.4,6.655e+01,6.558e+02,1.283e+03,2.006e+03
139.0,6.527e+01,5.001e+02,1.132e+03,1.697e+03
140.6,6.906e+01,4.452e+02,1.045e+03,1.560e+03
142.2,6.170e+01,3.779e+02,9.825e+02,1.422e+03
143.8,5.517e+01,3.213e+02,9.569e+02,1.333e+03
145.4,5.006e+01,2.915e+02,9.486e+02,1.290e+03
147.0,4.588e+01,3.167e+02,8.774e+02,1.240e+03
148.6,4.089e+01,3.911e+02,7.854e+02,1.217e+03
150.2,3.864e+01,6.311e+02,7.925e+02,1.462e+03
151.8,3.530e+01,9.930e+02,7.897e+02,1.818e+03
153.4,3.935e+01,1.481e+03,7.841e+02,2.304e+03
155.0,4.869e+01,1.779e+03,8.342e+02,2.661e+03
156.6,4.775e+01,1.647e+03,9.132e+02,2.608e+03
158.2,4.691e+01,1.745e+03,9.694e+02,2.761e+03
159.8,7.203e+01,2.841e+03,9.762e+02,3.889e+03
161.4,1.234e+02,5.052e+03,1.025e+03,6.200e+03
163.0,1.784e+02,7.524e+03,1.237e+03,8.939e+03
164.5,1.805e+02,9.122e+03,1.552e+03,1.085e+04
166.1,1.662e+02,1.011e+04,1.735e+03,1.201e+04
167.7,1.883e+02,1.167e+04,1.829e+03,1.368e+04
169.3,2.045e+02,1.434e+04,2.100e+03,1.665e+04
170.9,2.546e+02,1.886e+04,2.416e+03,2.153e+04
172.5,3.274e+02,2.406e+04,2.584e+03,2.697e+04
174.1,3.004e+02,2.554e+04,2.410e+03,2.825e+04
175.7,3.071e+02,2.478e+04,2.522e+03,2.761e+04
177.3,3.281e+02,2.306e+04,2.593e+03,2.598e+04
178.9,2.962e+02,2.105e+04,2.309e+03,2.366e+04
180.5,2.992e+02,1.931e+04,1.960e+03,2.157e+04
182.1,3.006e+02,1.729e+04,1.681e+03,1.927e+04
183.7,2.564e+02,1.584e+04,1.499e+03,1.760e+04
185.3,2.334e+02,1.532e+04,1.421e+03,1.697e+04
186.9,2.264e+02,1.554e+04,1.357e+03,1.712e+04
188.5,2.413e+02,1.590e+04,1.375e+03,1.751e+04
190.1,3.116e+02,1.596e+04,1.479e+03,1.776e+04
191.7,4.384e+02,1.635e+04,1.512e+03,1.830e+04
193.3,5.766e+02,1.731e+04,1.478e+03,1.936e+04
194.9,6.536e+02,1.725e+04,1.453e+03,1.935e+04
196.5,5.803e+02,1.574e+04,1.455e+03,1.777e+04
198.1,5.792e+02,1.405e+04,1.486e+03,1.611e+04
199.7,4.529e+02,1.332e+04,1.431e+03,1.520e+04
