freq,psd_x,psd_y,psd_z,psd_xyz
143.1,3.653e+03,1.053e+04,1.846e+04,3.264e+04
144.6,3.470e+03,9.458e+03,1.730e+04,3.022e+04
146.2,3.073e+03,8.120e+03,1.543e+04,2.663e+04
147.8,3.137e+03,7.641e+03,1.608e+04,2.686e+04
149.4,3.611e+03,7.894e+03,1.890e+04,3.041e+04
151.0,3.634e+03,7.505e+03,1.958e+04,3.072e+04
152.6,3.581e+03,6.900e+03,1.998e+04,3.046e+04
154.2,3.556e+03,6.651e+03,2.055e+04,3.075e+04
155.8,3.694e+03,6.668e+03,2.127e+04,3.163e+04
157.4,3.597e+03,6.166e+03,2.042e+04,3.018e+04
158.9,3.471e+03,5.303e+03,1.942e+04,2.819e+04
160.5,3.275e+03,4.841e+03,1.823e+04,2.634e+04
162.1,2.614e+03,4.080e+03,1.479e+04,2.149e+04
163.7,1.897e+03,3.231e+03,1.107e+04,1.620e+04
165.3,1.600e+03,2.862e+03,9.834e+03,1.430e+04
166.9,1.459e+03,2.788e+03,9.148e+03,1.339e+04
168.5,1.724e+03,3.196e+03,1.067e+04,1.559e+04
170.1,2.484e+03,3.520e+03,1.473e+04,2.074e+04
171.7,4.282e+03,4.693e+03,2.519e+04,3.417e+04
173.2,5.752e+03,5.938e+03,3.385e+04,4.554e+04
174.8,5.865e+03,5.800e+03,3.445e+04,4.612e+04
176.4,5.360e+03,5.033e+03,3.177e+04,4.216e+04
178.0,4.278e+03,3.924e+03,2.523e+04,3.343e+04
179.6,4.141e+03,3.917e+03,2.439e+04,3.245e+04
181.2,4.436e+03,4.088e+03,2.721e+04,3.574e+04
182.8,4.715e+03,3.312e+03,3.034e+04,3.837e+04
184.4,4.863e+03,2.835e+03,3.249e+04,4.019e+04
186.0,4.953e+03,3.136e+03,3.458e+04,4.266e+04
187.6,5.262e+03,3.573e+03,3.780e+04,4.663e+04
189.1,5.743e+03,3.808e+03,4.062e+04,5.017e+04
190.7,6.097e+03,3.875e+03,4.029e+04,5.027e+04
192.3,6.498e+03,3.728e+03,3.849e+04,4.871e+04
193.9,7.058e+03,3.365e+03,3.839e+04,4.881e+04
195.5,7.257e+03,2.944e+03,3.609e+04,4.629e+04
197.1,7.236e+03,2.582e+03,3.108e+04,4.089e+04
198.7,7.726e+03,2.335e+03,3.049e+04,4.055e+04
