freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.110e+01,2.995e+02,1.674e+01,3.973e+02
1.6,6.396e+01,1.841e+02,2.920e+01,2.773e+02
3.2,2.532e+01,3.490e+01,2.686e+01,8.707e+01
4.8,2.688e+01,4.080e+02,3.109e+01,4.659e+02
6.4,3.751e+01,1.294e+03,4.129e+01,1.373e+03
8.0,5.134e+01,1.877e+03,3.876e+01,1.967e+03
9.6,3.714e+01,2.554e+03,2.933e+01,2.621e+03
11.2,3.507e+01,3.604e+03,2.550e+01,3.664e+03
12.8,3.119e+01,4.737e+03,2.460e+01,4.793e+03
14.4,3.151e+01,6.255e+03,2.210e+01,6.308e+03
16.0,3.425e+01,8.032e+03,2.318e+01,8.090e+03
17.6,3.485e+01,9.932e+03,2.746e+01,9.994e+03
19.2,3.963e+01,1.224e+04,4.492e+01,1.232e+04
20.8,4.802e+01,1.439e+04,5.076e+01,1.449e+04
22.4,5.941e+01,1.713e+04,3.385e+01,1.723e+04
24.0,6.253e+01,2.106e+04,2.632e+01,2.114e+04
25.6,6.557e+01,2.592e+04,2.529e+01,2.601e+04
27.2,9.354e+01,3.196e+04,2.655e+01,3.208e+04
28.8,1.357e+02,4.073e+04,3.642e+01,4.090e+04
30.4,2.273e+02,4.860e+04,9.083e+01,4.892e+04
32.0,3.990e+02,5.369e+04,1.165e+02,5.421e+04
33.6,7.016e+02,6.932e+04,8.600e+01,7.011e+04
35.2,1.757e+03,9.302e+04,1.690e+02,9.495e+04
36.8,6.762e+03,1.163e+05,8.958e+02,1.239e+05
38.4,1.831e+04,1.651e+05,1.982e+03,1.854e+05
40.0,3.179e+04,2.454e+05,2.725e+03,2.799e+05
41.6,6.287e+04,3.840e+05,4.813e+03,4.517e+05
43.2,9.872e+04,4.029e+05,6.719e+03,5.083e+05
44.8,1.119e+05,2.752e+05,7.101e+03,3.942e+05
46.4,1.089e+05,1.583e+05,6.750e+03,2.740e+05
48.0,9.248e+04,8.633e+04,5.898e+03,1.847e+05
49.6,7.474e+04,4.957e+04,4.960e+03,1.293e+05
51.2,6.662e+04,4.124e+04,4.278e+03,1.121e+05
52.8,6.902e+04,6.263e+04,3.977e+03,1.356e+05
54.4,8.888e+04,1.228e+05,3.847e+03,2.155e+05
56.0,1.137e+05,2.071e+05,3.126e+03,3.239e+05
57.6,1.388e+05,3.116e+05,2.876e+03,4.533e+05
59.2,1.817e+05,4.846e+05,3.860e+03,6.701e+05
60.8,2.376e+05,7.347e+05,4.200e+03,9.765e+05
62.4,2.278e+05,7.999e+05,2.286e+03,1.030e+06
64.0,1.593e+05,6.403e+05,9.238e+02,8.004e+05
65.6,1.101e+05,4.871e+05,4.675e+02,5.976e+05
67.2,9.146e+04,3.940e+05,5.675e+02,4.860e+05
68.8,8.229e+04,3.314e+05,7.173e+02,4.144e+05
70.4,7.502e+04,2.863e+05,1.104e+03,3.624e+05
72.0,6.770e+04,2.493e+05,1.666e+03,3.186e+05
73.6,5.903e+04,2.195e+05,1.669e+03,2.802e+05
75.2,4.551e+04,1.855e+05,1.363e+03,2.323e+05
76.8,2.991e+04,1.495e+05,1.210e+03,1.806e+05
78.4,1.887e+04,1.255e+05,1.022e+03,1.454e+05
80.0,1.363e+04,1.184e+05,8.700e+02,1.329e+05
81.6,1.252e+04,1.173e+05,1.038e+03,1.309e+05
83.2,9.721e+03,1.059e+05,1.765e+03,1.174e+05
84.8,1.108e+04,1.025e+05,3.400e+03,1.170e+05
86.4,1.277e+04,1.004e+05,4.231e+03,1.174e+05
88.0,1.188e+04,1.042e+05,5.189e+03,1.212e+05
89.6,9.682e+03,1.120e+05,6.358e+03,1.281e+05
91.2,8.256e+03,1.151e+05,6.613e+03,1.299e+05
92.8,7.494e+03,1.164e+05,6.319e+03,1.302e+05
94.4,7.380e+03,1.140e+05,4.843e+03,1.262e+05
96.0,7.967e+03,1.069e+05,4.037e+03,1.189e+05
97.6,9.090e+03,9.673e+04,4.062e+03,1.099e+05
99.2,1.066e+04,8.755e+04,4.004e+03,1.022e+05
100.8,1.283e+04,7.909e+04,3.760e+03,9.567e+04
102.4,1.534e+04,6.969e+04,3.954e+03,8.899e+04
104.0,1.710e+04,5.806e+04,4.454e+03,7.961e+04
105.6,1.695e+04,4.857e+04,5.658e+03,7.118e+04
107.2,1.958e+04,4.201e+04,8.691e+03,7.027e+04
108.8,2.710e+04,3.468e+04,1.553e+04,7.731e+04
110.4,3.667e+04,3.418e+04,2.379e+04,9.465e+04
112.0,4.197e+04,5.182e+04,3.091e+04,1.247e+05
113.7,3.537e+04,7.903e+04,3.545e+04,1.499e+05
115.3,2.541e+04,9.793e+04,3.650e+04,1.598e+05
116.9,1.695e+04,1.033e+05,3.487e+04,1.551e+05
118.5,1.185e+04,1.040e+05,3.311e+04,1.489e+05
120.1,9.561e+03,1.028e+05,2.985e+04,1.422e+05
121.7,8.296e+03,9.640e+04,2.399e+04,1.287e+05
123.3,6.688e+03,9.148e+04,1.799e+04,1.162e+05
124.9,6.855e+03,9.549e+04,1.577e+04,1.181e+05
126.5,5.870e+03,9.610e+04,1.381e+04,1.158e+05
128.1,6.599e+03,9.787e+04,1.190e+04,1.164e+05
129.7,6.800e+03,9.682e+04,1.233e+04,1.160e+05
131.3,6.155e+03,8.722e+04,1.554e+04,1.089e+05
132.9,5.590e+03,5.644e+04,1.437e+04,7.640e+04
134.5,4.489e+03,1.683e+04,8.516e+03,2.983e+04
136.1,3.485e+03,1.043e+04,6.338e+03,2.025e+04
137.7,2.798e+03,1.031e+04,5.198e+03,1.830e+04
139.3,2.440e+03,1.110e+04,4.368e+03,1.791e+04
140.9,2.039e+03,1.245e+04,3.470e+03,1.796e+04
142.5,1.818e+03,1.205e+04,2.976e+03,1.684e+04
144.1,1.693e+03,1.017e+04,2.474e+03,1.433e+04
145.7,1.700e+03,8.131e+03,2.524e+03,1.235e+04
147.3,1.654e+03,6.538e+03,2.631e+03,1.082e+04
148.9,1.345e+03,6.324e+03,2.263e+03,9.932e+03
150.5,9.915e+02,6.073e+03,1.707e+03,8.771e+03
152.1,8.519e+02,5.088e+03,1.447e+03,7.386e+03
153.7,7.930e+02,4.337e+03,1.330e+03,6.460e+03
155.3,8.008e+02,4.100e+03,1.264e+03,6.164e+03
156.9,9.966e+02,4.241e+03,1.547e+03,6.784e+03
158.5,1.574e+03,4.403e+03,2.775e+03,8.753e+03
160.1,2.381e+03,4.840e+03,4.856e+03,1.208e+04
161.7,4.010e+03,5.843e+03,8.883e+03,1.874e+04
163.3,5.231e+03,5.254e+03,1.288e+04,2.336e+04
164.9,6.580e+03,3.304e+03,1.794e+04,2.783e+04
166.5,9.630e+03,2.553e+03,2.731e+04,3.949e+04
168.1,1.035e+04,1.952e+03,2.983e+04,4.213e+04
169.7,1.113e+04,2.699e+03,3.245e+04,4.628e+04
171.3,1.180e+04,3.477e+03,3.592e+04,5.120e+04
172.9,1.086e+04,4.456e+03,3.412e+04,4.944e+04
174.5,1.017e+04,6.034e+03,3.330e+04,4.950e+04
176.1,1.077e+04,8.236e+03,3.619e+04,5.519e+04
177.7,1.178e+04,1.028e+04,3.991e+04,6.196e+04
179.3,1.256e+04,1.146e+04,4.277e+04,6.679e+04
180.9,1.257e+04,1.152e+04,4.223e+04,6.632e+04
182.5,1.354e+04,1.120e+04,4.395e+04,6.869e+04
184.1,1.697e+04,1.189e+04,5.229e+04,8.115e+04
185.7,2.055e+04,1.114e+04,6.006e+04,9.176e+04
187.3,2.221e+04,9.224e+03,6.323e+04,9.467e+04
188.9,2.314e+04,7.725e+03,6.529e+04,9.615e+04
190.5,2.377e+04,6.674e+03,6.575e+04,9.619e+04
192.1,2.503e+04,7.548e+03,6.671e+04,9.929e+04
193.7,2.654e+04,1.073e+04,6.896e+04,1.062e+05
195.3,2.632e+04,1.289e+04,6.715e+04,1.064e+05
196.9,2.668e+04,1.396e+04,6.639e+04,1.070e+05
198.5,2.495e+04,1.562e+04,6.121e+04,1.018e+05
