freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.030e+02,7.833e+02,1.038e+01,8.967e+02
1.6,8.105e+01,4.873e+02,2.571e+01,5.941e+02
3.2,2.644e+01,1.098e+02,2.549e+01,1.618e+02
4.8,3.250e+01,5.756e+02,2.473e+01,6.328e+02
6.4,3.783e+01,1.812e+03,2.915e+01,1.879e+03
7.9,3.626e+01,1.778e+03,3.271e+01,1.847e+03
9.5,3.680e+01,1.639e+03,2.899e+01,1.705e+03
11.1,4.809e+01,2.609e+03,2.846e+01,2.686e+03
12.7,6.574e+01,3.892e+03,2.904e+01,3.987e+03
14.3,9.665e+01,5.519e+03,2.912e+01,5.644e+03
15.9,1.484e+02,7.619e+03,2.687e+01,7.794e+03
17.5,2.382e+02,1.016e+04,3.335e+01,1.043e+04
19.1,4.037e+02,1.274e+04,4.855e+01,1.319e+04
20.7,7.264e+02,1.591e+04,5.642e+01,1.669e+04
22.3,1.697e+03,2.064e+04,6.107e+01,2.239e+04
23.8,3.329e+03,2.253e+04,8.640e+01,2.595e+04
25.4,3.459e+03,1.594e+04,1.751e+02,1.957e+04
27.0,5.179e+03,1.308e+04,3.796e+02,1.864e+04
28.6,1.268e+04,2.359e+04,4.606e+02,3.673e+04
30.2,2.036e+04,4.767e+04,3.911e+02,6.843e+04
31.8,2.476e+04,7.081e+04,3.095e+02,9.588e+04
33.4,2.772e+04,9.250e+04,2.679e+02,1.205e+05
35.0,3.083e+04,1.161e+05,2.198e+02,1.472e+05
36.6,3.487e+04,1.412e+05,1.935e+02,1.762e+05
38.1,3.743e+04,1.783e+05,2.507e+02,2.160e+05
39.7,3.570e+04,2.285e+05,4.525e+02,2.646e+05
41.3,4.043e+04,3.146e+05,7.396e+02,3.557e+05
42.9,4.953e+04,4.252e+05,9.128e+02,4.757e+05
44.5,6.273e+04,5.792e+05,1.152e+03,6.430e+05
46.1,1.015e+05,1.008e+06,2.107e+03,1.111e+06
47.7,1.879e+05,1.988e+06,4.967e+03,2.181e+06
49.3,2.816e+05,2.929e+06,9.589e+03,3.220e+06
50.9,3.160e+05,2.923e+06,1.001e+04,3.249e+06
52.5,2.713e+05,2.320e+06,7.528e+03,2.599e+06
54.0,2.020e+05,1.795e+06,5.353e+03,2.002e+06
55.6,1.525e+05,1.435e+06,3.941e+03,1.591e+06
57.2,1.138e+05,1.106e+06,3.143e+03,1.223e+06
58.8,9.466e+04,9.232e+05,2.688e+03,1.021e+06
60.4,8.066e+04,7.732e+05,2.150e+03,8.560e+05
62.0,6.777e+04,6.177e+05,1.413e+03,6.869e+05
63.6,5.779e+04,4.933e+05,7.617e+02,5.519e+05
65.2,5.116e+04,4.008e+05,5.063e+02,4.525e+05
66.8,4.720e+04,3.275e+05,4.683e+02,3.751e+05
68.3,4.582e+04,2.717e+05,4.179e+02,3.179e+05
69.9,4.559e+04,2.317e+05,3.779e+02,2.777e+05
71.5,4.513e+04,1.971e+05,4.314e+02,2.426e+05
73.1,4.586e+04,1.664e+05,6.009e+02,2.128e+05
74.7,4.825e+04,1.409e+05,8.875e+02,1.901e+05
76.3,5.428e+04,1.180e+05,1.581e+03,1.738e+05
77.9,6.158e+04,9.795e+04,2.939e+03,1.625e+05
79.5,5.979e+04,9.365e+04,4.392e+03,1.578e+05
81.1,4.801e+04,1.039e+05,5.085e+03,1.570e+05
82.7,3.617e+04,1.119e+05,5.522e+03,1.536e+05
84.2,3.027e+04,1.188e+05,6.498e+03,1.556e+05
85.8,2.808e+04,1.250e+05,8.673e+03,1.618e+05
87.4,2.354e+04,1.353e+05,1.141e+04,1.702e+05
89.0,1.741e+04,1.439e+05,1.410e+04,1.754e+05
90.6,1.228e+04,1.461e+05,1.615e+04,1.746e+05
92.2,8.639e+03,1.439e+05,1.738e+04,1.699e+05
93.8,5.437e+03,1.413e+05,1.728e+04,1.640e+05
95.4,4.453e+03,1.392e+05,1.778e+04,1.615e+05
97.0,6.200e+03,1.358e+05,2.107e+04,1.631e+05
98.5,8.976e+03,1.310e+05,2.548e+04,1.654e+05
100.1,1.226e+04,1.264e+05,2.995e+04,1.686e+05
101.7,1.712e+04,1.191e+05,3.367e+04,1.699e+05
103.3,1.721e+04,9.417e+04,2.974e+04,1.411e+05
104.9,1.413e+04,7.026e+04,2.381e+04,1.082e+05
106.5,1.361e+04,5.556e+04,2.062e+04,8.979e+04
108.1,1.319e+04,4.093e+04,1.985e+04,7.398e+04
109.7,1.103e+04,3.196e+04,1.909e+04,6.208e+04
111.3,8.222e+03,2.571e+04,1.925e+04,5.319e+04
112.9,1.154e+04,2.759e+04,1.931e+04,5.844e+04
114.4,3.101e+04,5.241e+04,1.422e+04,9.764e+04
116.0,3.980e+04,8.261e+04,1.318e+04,1.356e+05
117.6,3.850e+04,1.112e+05,1.500e+04,1.647e+05
119.2,3.477e+04,1.318e+05,1.754e+04,1.842e+05
120.8,3.093e+04,1.418e+05,2.002e+04,1.928e+05
122.4,2.769e+04,1.426e+05,2.076e+04,1.910e+05
124.0,2.577e+04,1.421e+05,1.986e+04,1.878e+05
125.6,2.463e+04,1.370e+05,1.677e+04,1.784e+05
127.2,2.468e+04,1.293e+05,1.257e+04,1.665e+05
128.7,2.417e+04,1.274e+05,1.043e+04,1.620e+05
130.3,2.120e+04,1.280e+05,1.057e+04,1.598e+05
131.9,1.673e+04,1.195e+05,1.155e+04,1.478e+05
133.5,6.533e+03,5.171e+04,7.564e+03,6.581e+04
135.1,1.243e+03,1.051e+04,4.505e+03,1.626e+04
136.7,1.012e+03,8.451e+03,3.769e+03,1.323e+04
138.3,9.288e+02,7.293e+03,3.117e+03,1.134e+04
139.9,7.924e+02,6.665e+03,2.610e+03,1.007e+04
141.5,5.731e+02,5.958e+03,2.392e+03,8.922e+03
143.0,4.125e+02,4.297e+03,2.002e+03,6.712e+03
144.6,3.102e+02,2.153e+03,1.218e+03,3.681e+03
146.2,2.346e+02,2.260e+03,9.112e+02,3.406e+03
147.8,1.923e+02,3.850e+03,8.586e+02,4.901e+03
149.4,1.728e+02,5.357e+03,7.247e+02,6.254e+03
151.0,1.809e+02,5.204e+03,7.097e+02,6.095e+03
152.6,2.374e+02,3.309e+03,8.408e+02,4.387e+03
154.2,3.024e+02,1.629e+03,9.878e+02,2.919e+03
155.8,3.028e+02,1.369e+03,1.136e+03,2.808e+03
157.4,3.282e+02,1.843e+03,1.523e+03,3.694e+03
158.9,3.930e+02,2.415e+03,1.919e+03,4.727e+03
160.5,3.532e+02,2.953e+03,2.051e+03,5.357e+03
162.1,3.529e+02,3.674e+03,2.229e+03,6.255e+03
163.7,4.411e+02,5.322e+03,2.965e+03,8.728e+03
165.3,4.684e+02,5.730e+03,3.077e+03,9.275e+03
166.9,4.855e+02,6.173e+03,2.984e+03,9.642e+03
168.5,5.572e+02,6.330e+03,3.240e+03,1.013e+04
170.1,6.297e+02,6.828e+03,3.570e+03,1.103e+04
171.7,7.417e+02,8.850e+03,4.046e+03,1.364e+04
173.2,8.388e+02,1.011e+04,4.441e+03,1.539e+04
174.8,7.949e+02,9.081e+03,4.385e+03,1.426e+04
176.4,7.162e+02,8.088e+03,4.088e+03,1.289e+04
178.0,6.866e+02,7.210e+03,3.959e+03,1.186e+04
179.6,6.340e+02,6.398e+03,3.579e+03,1.061e+04
181.2,6.072e+02,5.757e+03,3.323e+03,9.687e+03
182.8,6.079e+02,5.215e+03,3.448e+03,9.271e+03
184.4,5.990e+02,4.673e+03,3.828e+03,9.101e+03
186.0,5.652e+02,4.224e+03,4.016e+03,8.805e+03
187.6,5.156e+02,3.779e+03,4.013e+03,8.308e+03
189.1,4.567e+02,3.474e+03,4.080e+03,8.011e+03
190.7,4.423e+02,3.809e+03,4.593e+03,8.844e+03
192.3,4.855e+02,4.708e+03,5.229e+03,1.042e+04
193.9,5.653e+02,6.223e+03,5.891e+03,1.268e+04
195.5,6.072e+02,7.659e+03,6.538e+03,1.480e+04
197.1,5.813e+02,7.839e+03,6.288e+03,1.471e+04
198.7,5.456e+02,8.399e+03,5.589e+03,1.453e+04
