freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.333e+02,1.214e+02,5.078e+02,7.625e+02
1.6,3.662e+02,3.192e+02,3.036e+02,9.890e+02
3.2,4.844e+02,3.529e+02,5.096e+01,8.883e+02
4.8,4.676e+02,3.631e+02,5.059e+02,1.337e+03
6.4,4.133e+02,4.210e+02,1.324e+03,2.159e+03
8.0,4.327e+02,4.023e+02,1.820e+03,2.655e+03
9.6,4.150e+02,3.846e+02,2.696e+03,3.496e+03
11.2,4.079e+02,4.232e+02,3.801e+03,4.632e+03
12.8,4.431e+02,3.866e+02,5.124e+03,5.954e+03
14.4,4.611e+02,4.055e+02,6.621e+03,7.487e+03
16.0,3.864e+02,3.720e+02,8.435e+03,9.193e+03
17.6,4.562e+02,3.616e+02,1.078e+04,1.160e+04
19.2,5.041e+02,3.646e+02,1.340e+04,1.427e+04
20.8,5.190e+02,4.162e+02,1.625e+04,1.719e+04
22.4,5.059e+02,4.347e+02,1.960e+04,2.054e+04
24.0,4.535e+02,4.412e+02,2.383e+04,2.472e+04
25.6,5.252e+02,5.240e+02,2.906e+04,3.011e+04
27.2,6.084e+02,6.634e+02,3.590e+04,3.717e+04
28.8,6.113e+02,7.605e+02,4.009e+04,4.147e+04
30.4,7.281e+02,6.516e+02,3.866e+04,4.004e+04
32.0,8.232e+02,5.398e+02,4.171e+04,4.307e+04
33.6,1.092e+03,5.357e+02,4.874e+04,5.037e+04
35.1,1.971e+03,7.165e+02,5.969e+04,6.238e+04
36.7,2.810e+03,9.745e+02,7.204e+04,7.582e+04
38.3,2.368e+03,1.330e+03,8.522e+04,8.892e+04
39.9,2.535e+03,1.858e+03,1.030e+05,1.074e+05
41.5,4.914e+03,2.842e+03,1.332e+05,1.410e+05
43.1,9.058e+03,4.669e+03,1.739e+05,1.876e+05
44.7,1.073e+04,7.516e+03,2.294e+05,2.476e+05
46.3,1.459e+04,1.122e+04,3.113e+05,3.371e+05
47.9,3.031e+04,2.167e+04,4.151e+05,4.671e+05
49.5,5.564e+04,4.450e+04,5.250e+05,6.251e+05
51.1,7.466e+04,7.723e+04,6.739e+05,8.258e+05
52.7,1.046e+05,1.338e+05,9.573e+05,1.196e+06
54.3,1.645e+05,2.276e+05,1.441e+06,1.833e+06
55.9,2.050e+05,2.812e+05,1.865e+06,2.352e+06
57.5,1.466e+05,1.832e+05,1.604e+06,1.933e+06
59.1,8.964e+04,9.198e+04,1.101e+06,1.282e+06
60.7,6.192e+04,5.227e+04,7.139e+05,8.281e+05
62.3,4.694e+04,3.622e+04,4.437e+05,5.269e+05
63.9,3.825e+04,2.795e+04,2.759e+05,3.421e+05
65.5,3.343e+04,2.137e+04,1.973e+05,2.521e+05
